summary,components,story_points,priority,issuetype,created_year,created_month,num_comments,project,status,created_date,key,created_dayofweek,num_components,resolution_days,assignee,num_labels
Failed sandbox initialization can cause tasks to go LOST,Executor,3.0,Minor,Bug,2016,2,1,Aurora,Resolved,2016-02-11,AURORA-1614,3,1,0.12,Joshua Cohen,0
Task History Pruning attempts can fail silently,,3.0,Major,Bug,2016,1,4,Aurora,Resolved,2016-01-14,AURORA-1582,3,0,7.22,Zameer Manji,0
"Add update sequence into ""aurora job diff"" command",Client,3.0,Major,Task,2015,10,2,Aurora,Resolved,2015-10-08,AURORA-1516,3,1,12.91,Maxim Khutornenko,0
Implement getJobUpdateDiff API without TaskConfig diff support,Scheduler,3.0,Major,Task,2015,10,1,Aurora,Resolved,2015-10-08,AURORA-1515,3,1,5.18,Maxim Khutornenko,0
PreemptorService failure does not trigger shutdown,,2.0,Major,Bug,2015,10,4,Aurora,Resolved,2015-10-01,AURORA-1511,3,0,25.05,Zameer Manji,0
ConcurrentModificationException in PreemptorService,,2.0,Critical,Bug,2015,10,3,Aurora,Resolved,2015-10-01,AURORA-1510,3,0,28.06,Zameer Manji,0
Job updater does not handle DELETED tasks properly,Scheduler,5.0,Major,Bug,2015,9,2,Aurora,Resolved,2015-09-29,AURORA-1506,1,1,78.84,Maxim Khutornenko,0
Determine how best to keep up with Mesos releases,,3.0,Major,Task,2015,9,7,Aurora,Resolved,2015-09-28,AURORA-1503,0,0,26.3,Zameer Manji,0
Create a design summary for the jobConfigDiff RPC,Scheduler,5.0,Major,Task,2015,9,1,Aurora,Resolved,2015-09-28,AURORA-1502,0,1,10.91,Maxim Khutornenko,0
Scheduler fails to start due to thrift/SQL schema data type mismatch,Scheduler,3.0,Blocker,Bug,2015,9,1,Aurora,Resolved,2015-09-18,AURORA-1494,4,1,0.7,Maxim Khutornenko,0
"Make ""aurora task"" commands support optional ssh options",Client,2.0,Minor,Task,2015,9,3,Aurora,Resolved,2015-09-11,AURORA-1491,4,1,10.05,Maxim Khutornenko,0
Improve discoverability of dashboard link on the Job page,UI,1.0,Major,Story,2015,9,1,Aurora,Resolved,2015-09-02,AURORA-1474,2,1,8.84,Joshua Cohen,0
Add e2e integration tests for revocable tasks,Scheduler,3.0,Major,Task,2015,8,1,Aurora,Resolved,2015-08-31,AURORA-1464,0,1,2.4,Maxim Khutornenko,0
Update quota documentation,Documentation,1.0,Major,Task,2015,8,1,Aurora,Resolved,2015-08-31,AURORA-1462,0,1,21.2,Maxim Khutornenko,0
Update RPCs and client/UI to properly identify non-dedicated consumption,,2.0,Major,Task,2015,8,2,Aurora,Resolved,2015-08-31,AURORA-1461,0,0,11.29,Maxim Khutornenko,0
Remove quota enforcement for dedicated jobs,,3.0,Major,Task,2015,8,2,Aurora,Resolved,2015-08-31,AURORA-1460,0,0,9.05,Maxim Khutornenko,0
DelayExecutor is flaky within scheduling loop,Scheduler,5.0,Major,Bug,2015,8,3,Aurora,Resolved,2015-08-29,AURORA-1459,5,1,16.22,Bill Farner,0
In-progress instances on Update page continue to pulse after update is aborted,UI,3.0,Minor,Bug,2015,8,1,Aurora,Resolved,2015-08-26,AURORA-1445,2,1,6.46,Joshua Cohen,0
Document oversubscription in Aurora,,2.0,Major,Task,2015,8,1,Aurora,Resolved,2015-08-21,AURORA-1441,4,0,31.27,Maxim Khutornenko,0
Modify resource counters to support revocable slot counters,Scheduler,3.0,Major,Task,2015,8,1,Aurora,Resolved,2015-08-18,AURORA-1439,1,1,1.86,Maxim Khutornenko,0
